transaction_id,user_id,card_id,merchant_id,merchant_name,merchant_category,amount,currency,timestamp,device_id,device_type,ip_address,location,city,country,status,fraud_score,velocity_24h,unusual_time,unusual_location,cvv_provided,3ds_auth,account_age_days,previous_fraud
TXN_20240923001,USER_10001,CARD_1001,MERCH_5001,Amazon.com,E_COMMERCE,149.99,USD,2024-09-23T10:15:30Z,DEV_A001,mobile,192.168.1.100,New York NY,New York,USA,COMPLETED,0.12,1,false,false,true,true,365,false
TXN_20240923002,USER_10001,CARD_1001,MERCH_5002,Walmart,RETAIL,89.50,USD,2024-09-23T14:30:00Z,DEV_A001,mobile,192.168.1.100,New York NY,New York,USA,COMPLETED,0.08,2,false,false,true,true,365,false
TXN_20240923003,USER_10001,CARD_1001,MERCH_5003,Shell Gas Station,GAS,45.00,USD,2024-09-23T18:45:00Z,DEV_A001,mobile,192.168.1.100,New York NY,New York,USA,COMPLETED,0.05,3,false,false,true,false,365,false
TXN_20240923004,USER_10002,CARD_1002,MERCH_5004,Apple Store,ELECTRONICS,1299.00,USD,2024-09-23T11:00:00Z,DEV_B001,desktop,192.168.2.50,Los Angeles CA,Los Angeles,USA,COMPLETED,0.15,1,false,false,true,true,180,false
TXN_20240923005,USER_10002,CARD_1002,MERCH_5005,Best Buy,ELECTRONICS,2499.99,USD,2024-09-23T11:15:00Z,DEV_B001,desktop,192.168.2.50,Los Angeles CA,Los Angeles,USA,COMPLETED,0.25,2,false,false,true,true,180,false
TXN_20240923006,USER_10002,CARD_1002,MERCH_5006,Unknown Vendor,WIRE_TRANSFER,5000.00,USD,2024-09-23T23:45:00Z,DEV_X999,mobile,10.0.0.1,Unknown,Unknown,Unknown,DECLINED,0.95,3,true,true,false,false,180,false
TXN_20240923007,USER_10003,CARD_1003,MERCH_5007,Starbucks,FOOD,12.50,USD,2024-09-23T08:30:00Z,DEV_C001,mobile,192.168.3.75,Chicago IL,Chicago,USA,COMPLETED,0.03,1,false,false,true,false,540,false
TXN_20240923008,USER_10003,CARD_1003,MERCH_5008,Whole Foods,GROCERY,156.78,USD,2024-09-23T17:00:00Z,DEV_C001,mobile,192.168.3.75,Chicago IL,Chicago,USA,COMPLETED,0.06,2,false,false,true,true,540,false
TXN_20240923009,USER_10003,CARD_1003,MERCH_5009,Target,RETAIL,234.50,USD,2024-09-23T19:30:00Z,DEV_C001,mobile,192.168.3.75,Chicago IL,Chicago,USA,COMPLETED,0.08,3,false,false,true,true,540,false
TXN_20240923010,USER_10004,CARD_1004,MERCH_5010,Delta Airlines,TRAVEL,850.00,USD,2024-09-23T09:00:00Z,DEV_D001,desktop,192.168.4.100,Miami FL,Miami,USA,COMPLETED,0.20,1,false,false,true,true,90,false
